rowID	N170f	B150f	G100m	I180f	N110m	E270f	blank4	neat_qc2	pooled_qc2	E280m	blank1	G150f	B190m	H150m	H140f	O120f	L100f	I190f	M270m	F110m	blank2	blank3	neat_qc1	pooled_qc1	O110m	F140f	L120m	M280f
met_478	142000	152000	130000	122000	131000	123000	190000	11000	123000	116000	593000	108000	121000	112000	114000	145000	99400	116000	105000	107000	271000	222000	183000	135000	162000	149000	141000	136000
met_4790	40000	3400	24500	79800	11500	65400	9840	35200	0	0	67000	24000	10800	31600	56800	23500	35000	13100	35900	16300	79900	0	0	0	0	39900	43700	28200
met_4793	60300	70000	58200	60500	55500	76200	74100	78600	62500	70600	66800	63000	58400	56800	68700	61100	57600	50400	51900	57700	64800	70200	73200	68800	69100	59200	59300	69900
met_4802	66400	56700	57200	62600	59600	80200	58800	73800	57300	55900	66100	58000	67100	52600	77100	56600	53800	54300	48000	52800	74400	70600	92600	70000	72800	72800	67700	71000
met_4813	41200	43600	47900	41900	47200	4720	40100	3490	35000	38400	65600	39500	39200	39900	4010	38900	37500	41700	37700	38200	52100	53600	58300	45600	45300	4020	45200	45600
met_4828	81800	60000	37800	78500	61300	97300	55600	41800	41200	71100	64300	48100	50700	54500	68400	59300	61500	58900	70500	66300	61400	63000	16600	35700	35500	85900	51400	74900
met_4839	38300	49900	32600	40700	35700	6990	36900	3240	37600	33000	63700	33400	39200	41100	3760	39800	30200	33200	35100	33500	43200	44200	46600	42700	42900	17700	42200	42900
met_4862	48300	90700	91900	48900	80700	44200	41100	35300	32900	45300	62000	47800	52600	42900	42400	41600	32800	36500	32700	34900	48000	35900	49600	33200	53000	55500	77300	50800
met_4872	40900	23400	70700	69600	45900	531000	27400	128000	0	0	61600	19400	47800	76200	72600	24800	14100	16400	27000	22700	28600	0	0	0	0	48700	60600	45900
met_4895	417000	215000	221000	353000	264000	238000	28700	29700	284000	297000	60200	242000	306000	160000	243000	354000	125000	261000	285000	244000	47500	51800	44000	408000	519000	208000	300000	772000
met_4896	44900	39000	39900	40300	38900	3670	37600	6320	38400	32300	60200	41200	37100	36400	3210	38000	36100	33700	31300	33400	48200	44400	48400	46400	44600	13700	45200	42900
met_4897	43400	53900	43800	43900	44400	14600	51100	9430	46000	42100	60000	45700	42100	51400	11700	39700	39500	40500	38000	40100	53400	50600	62500	51400	51600	33500	46500	52900
met_4899	46900	26400	84700	86500	58700	531000	52100	357000	0	0	59900	28000	80100	76200	95000	29300	20200	22200	38200	25400	27700	0	0	0	0	58200	84500	60100
met_491	1130000	1830000	687000	793000	654000	1290000	187000	204000	821000	1070000	307000	1350000	1300000	681000	427000	968000	872000	452000	431000	874000	265000	268000	280000	1180000	595000	739000	1120000	521000
met_4927	41400	37600	38900	37500	39600	10400	32800	3800	37500	39100	58500	36700	35400	37500	3460	39100	33900	37400	36100	35300	42300	45800	45900	45100	43300	29300	40300	42300
met_4932	48400	56500	45900	50400	45400	40100	31400	13600	45800	41800	58300	61600	49800	54200	31800	42700	47000	36900	44800	43900	38500	31900	43300	51000	31400	52400	48000	38800
met_4951	57100	56800	50800	47300	44600	47300	49400	45600	49100	43800	57500	51800	47900	46700	42400	47200	51500	42800	40900	49000	57200	52600	59000	51000	58600	50900	54200	53200
met_496	182000	182000	164000	174000	170000	146000	182000	166000	159000	155000	212000	164000	165000	166000	158000	162000	151000	156000	151000	156000	183000	204000	204000	181000	187000	192000	188000	174000
met_4990	44500	46600	46400	43300	42900	50900	44900	49500	36600	35200	55900	36100	49000	38000	47600	38100	40100	38600	34800	32900	49000	53200	49000	47300	45500	52300	43100	45700
met_4998	53100	56400	60100	53000	65700	49700	53400	65600	48200	54700	55900	55700	62100	53200	56400	51600	50800	43000	46200	47700	56900	59100	59400	57600	63500	53000	54300	52800
